quarter,districtoccur,psa,race,gender,age_range,n_stopped,n_searched,n_arrested,n_contraband,n_frisked,n_intruded,quarter_dt,quarter_str,q_str,year
2014-04-01,09,1,other_race,Male,45-54,2,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Female,65+,2,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Male,45-54,28,1,1,0,1,1,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Female,45-54,9,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Female,55-64,10,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Female,45-54,17,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,asian,Female,55-64,2,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Female,<25,16,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,asian,Male,45-54,1,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,asian,Male,55-64,1,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Male,55-64,14,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,other_race,Male,35-44,3,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Female,65+,10,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Male,55-64,17,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,asian,Male,35-44,3,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Female,25-34,29,0,0,1,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,latino,Female,<25,1,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Male,<25,21,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Male,65+,5,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,asian,Female,25-34,3,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,asian,Female,45-54,1,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,other_race,Female,25-34,4,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Male,65+,18,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Female,25-34,46,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,black,Female,35-44,21,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Male,45-54,32,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Female,35-44,18,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,latino,Female,45-54,1,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,latino,Male,25-34,4,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,white,Male,35-44,39,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-04-01,09,1,latino,Female,25-34,4,0,0,0,0,0,2014-04-01,2014-Q2,Q2,2014
2014-07-01,09,1,other_race,Male,<25,1,1,1,1,1,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Male,45-54,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Male,35-44,6,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Female,55-64,13,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Female,65+,4,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Male,65+,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Female,<25,1,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Female,25-34,4,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Male,65+,3,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Female,<25,3,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Female,35-44,19,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Male,65+,11,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Male,25-34,9,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Male,55-64,1,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Female,25-34,56,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Female,65+,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Female,25-34,43,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Male,65+,22,0,1,0,1,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Female,25-34,9,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Male,55-64,1,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Female,<25,27,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Male,<25,23,0,0,0,1,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Female,35-44,1,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Female,45-54,22,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,asian,Male,<25,7,1,1,1,1,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Female,55-64,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Male,25-34,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,latino,Male,25-34,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Male,65+,1,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Female,35-44,38,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Male,25-34,77,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Male,45-54,36,1,1,2,0,1,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Male,55-64,22,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,black,Male,35-44,42,0,0,1,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,other_race,Male,45-54,2,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
2014-07-01,09,1,white,Female,45-54,15,0,0,0,0,0,2014-07-01,2014-Q3,Q3,2014
