is_young,is_male,young_male,young_female,older_male,older_female,obscured_view,clock_minutes,dow,year,police_area,assigned_unit,is_summer,weight
1,1,1,0,0,0,0,1075,5,2022,35-2,35TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,1,1211,3,2022,18-3,18TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1040,3,2022,19-2,19TH DISTRICT,0,0.3272100431103695
1,1,1,0,0,0,1,1220,4,2022,35-3,35TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1067,4,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1148,5,2022,39-1,39TH DISTRICT,0,0.1379725653571359
0,0,0,0,0,1,1,1150,6,2022,39-1,39TH DISTRICT,0,0.24359893199925842
1,0,0,1,0,0,0,1132,5,2022,39-1,39TH DISTRICT,0,0.2531359690362954
0,1,0,0,1,0,0,1135,4,2022,39-1,39TH DISTRICT,0,0.13797256535713587
0,1,0,0,1,0,0,1180,5,2022,39-1,39TH DISTRICT,0,0.13304138343397498
1,0,0,1,0,0,0,1119,6,2022,39-1,39TH DISTRICT,0,0.08588287872003969
0,1,0,0,1,0,0,1190,1,2022,39-1,39TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1175,1,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,0,1196,3,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1160,5,2022,39-1,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1172,6,2022,39-1,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1085,2,2022,39-1,39TH DISTRICT,0,0.3302888318387619
0,0,0,0,0,1,1,1183,4,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1103,6,2022,39-1,39TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1165,1,2022,39-1,39TH DISTRICT,0,0.31915448755481396
1,0,0,1,0,0,1,1150,0,2022,22-2,HIGHWAY PATROL,0,0.08029646286345592
1,1,1,0,0,0,0,1025,0,2022,35-2,35TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1140,6,2022,39-1,39TH DISTRICT,0,0.2671039473724758
0,1,0,0,1,0,0,1026,4,2022,39-1,39TH DISTRICT,0,0.29396515429534137
0,1,0,0,1,0,0,1045,1,2022,14-3,14TH DISTRICT,0,0.2864073832467149
0,1,0,0,1,0,1,1097,2,2022,16-2,16TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1070,5,2022,39-2,39TH DISTRICT,0,0.0914061712336112
0,0,0,0,0,1,1,1151,6,2022,39-2,39TH DISTRICT,0,0.179544301570113
1,0,0,1,0,0,1,1139,6,2022,39-2,39TH DISTRICT,0,0.285728561628888
1,0,0,1,0,0,1,1229,0,2022,39-2,39TH DISTRICT,0,0.2880433764437028
1,1,1,0,0,0,0,1114,6,2022,39-2,39TH DISTRICT,0,0.30373286590365617
1,1,1,0,0,0,0,1148,6,2022,39-2,39TH DISTRICT,0,0.2880433764437028
1,1,1,0,0,0,0,1079,0,2022,39-2,39TH DISTRICT,0,0.26779646286345593
1,1,1,0,0,0,0,1100,6,2022,39-2,39TH DISTRICT,0,0.2234879987081549
0,1,0,0,1,0,0,1075,2,2022,39-2,39TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1110,0,2022,39-2,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1154,3,2022,39-2,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1150,5,2022,39-2,39TH DISTRICT,0,0.24359893199925842
0,1,0,0,1,0,0,1102,5,2022,39-2,39TH DISTRICT,0,0.2758520184190115
1,1,1,0,0,0,0,1147,5,2022,39-2,39TH DISTRICT,0,0.2758520184190115
0,0,0,0,0,1,1,1120,1,2022,39-2,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1209,3,2022,18-1,18TH DISTRICT,0,0.23001868508567813
0,1,0,0,1,0,0,1167,4,2022,12-1,12TH DISTRICT,0,0.20444989128329297
0,1,0,0,1,0,0,1115,4,2022,39-1,39TH DISTRICT,0,0.13797256535713587
0,1,0,0,1,0,1,1200,6,2022,39-1,HIGHWAY PATROL,0,0.2924878208881473
0,1,0,0,1,0,0,1112,5,2022,35-2,35TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1132,3,2022,35-2,35TH DISTRICT,1,0.08588287872003969
